ts_mono_s,tb_new_bytes,tb_retx_bytes,num_new_tb,num_retx_tb
785783.947270,59669116,3422157,56769,3102
785783.947281,59669116,3422157,56769,3102
785783.947293,59669116,3422157,56769,3102
785783.947313,59669116,3422157,56769,3102
785783.947325,59669116,3422157,56769,3102
785783.947337,59669116,3422157,56769,3102
785783.947348,59669116,3422157,56769,3102
785783.947369,59669116,3422157,56769,3102
785783.947381,59669116,3422157,56769,3102
785783.947394,59669116,3422157,56769,3102
785783.947405,59669116,3422157,56769,3102
785783.947427,59669116,3422157,56769,3102
785783.947440,59669116,3422157,56769,3102
785783.947451,59669116,3422157,56769,3102
785783.947463,59669116,3422157,56769,3102
785783.947484,59669116,3422157,56769,3102
785783.947497,59669116,3422157,56769,3102
785783.947508,59669116,3422157,56769,3102
785783.947520,59669116,3422157,56769,3102
785783.947541,59669116,3422157,56769,3102
785783.947554,59669116,3422157,56769,3102
785783.947565,59669116,3422157,56769,3102
785783.947577,59669116,3422157,56769,3102
785783.947597,59669116,3422157,56769,3102
785783.947610,59669116,3422157,56769,3102
785783.947621,59669116,3422157,56769,3102
785783.947633,59669116,3422157,56769,3102
785783.947654,59669116,3422157,56769,3102
785783.947667,59669116,3422157,56769,3102
785783.947678,59669116,3422157,56769,3102
785783.947690,59669116,3422157,56769,3102
785783.947710,59669116,3422157,56769,3102
785783.947723,59669116,3422157,56769,3102
785783.947735,59669116,3422157,56769,3102
785783.947747,59669116,3422157,56769,3102
785783.947767,59669116,3422157,56769,3102
785783.947781,59669116,3422157,56769,3102
785783.947792,59669116,3422157,56769,3102
785783.947804,59669116,3422157,56769,3102
785783.947825,59669116,3422157,56769,3102
785783.947838,59669116,3422157,56769,3102
785783.947849,59669116,3422157,56769,3102
785783.947861,59669116,3422157,56769,3102
785783.947881,59669116,3422157,56769,3102
785783.947893,59669116,3422157,56769,3102
785783.947905,59669116,3422157,56769,3102
785783.947917,59669116,3422157,56769,3102
785783.947939,59669116,3422157,56769,3102
785783.947952,59669116,3422157,56769,3102
785783.947963,59669116,3422157,56769,3102
785783.947975,59669116,3422157,56769,3102
785783.947995,59669116,3422157,56769,3102
785783.948009,59669116,3422157,56769,3102
785783.948021,59669116,3422157,56769,3102
785783.948032,59669116,3422157,56769,3102
785783.948054,59669116,3422157,56769,3102
785783.948067,59669116,3422157,56769,3102
785783.948078,59669116,3422157,56769,3102
785783.948090,59669116,3422157,56769,3102
785783.948110,59669116,3422157,56769,3102
785783.948122,59669116,3422157,56769,3102
785783.948134,59669116,3422157,56769,3102
785783.948146,59669116,3422157,56769,3102
785783.948167,59669116,3422157,56769,3102
785783.948180,59669116,3422157,56769,3102
785783.948192,59669116,3422157,56769,3102
785783.948204,59669116,3422157,56769,3102
785783.948225,59669116,3422157,56769,3102
785783.948238,59669116,3422157,56769,3102
785783.948249,59669116,3422157,56769,3102
785783.948261,59669116,3422157,56769,3102
785783.948282,59669116,3422157,56769,3102
785783.948294,59669116,3422157,56769,3102
785783.948306,59669116,3422157,56769,3102
785783.948317,59669116,3422157,56769,3102
785783.948339,59669116,3422157,56769,3102
