epoch,tb_new_bytes,tb_retx_bytes,num_new_tb
1785579232.563898,59925676,3486941,57243
1785579232.568895,59925676,3486941,57243
1785579232.573897,59925676,3486941,57243
1785579232.578895,59925676,3486941,57243
1785579232.583904,59925676,3486941,57243
1785579232.588895,59925676,3486941,57243
1785579232.593908,59925676,3486941,57243
1785579232.598895,59925676,3486941,57243
1785579232.603898,59925676,3486941,57243
1785579232.608895,59925676,3486941,57243
1785579232.613897,59925676,3486941,57243
1785579232.618895,59925676,3486941,57243
1785579232.623898,59925676,3486941,57243
1785579232.628895,59925676,3486941,57243
1785579232.633910,59925676,3486941,57243
1785579232.638895,59925676,3486941,57243
1785579232.643897,59925676,3486941,57243
1785579232.648895,59925676,3486941,57243
1785579232.653896,59925676,3486941,57243
1785579232.658895,59925676,3486941,57243
1785579232.663897,59925676,3486941,57243
1785579232.668895,59925676,3486941,57243
1785579232.673908,59925676,3486941,57243
1785579232.678895,59925676,3486941,57243
1785579232.683903,59925676,3486941,57243
1785579232.688895,59925676,3486941,57243
1785579232.693896,59925676,3486941,57243
1785579232.698895,59925676,3486941,57243
1785579232.703899,59925676,3486941,57243
1785579232.708895,59925676,3486941,57243
1785579232.713910,59925676,3486941,57243
1785579232.718895,59925676,3486941,57243
1785579232.723897,59925676,3486941,57243
1785579232.728895,59925676,3486941,57243
1785579232.733896,59925676,3486941,57243
1785579232.738895,59925676,3486941,57243
1785579232.743897,59925676,3486941,57243
1785579232.748895,59925676,3486941,57243
1785579232.753908,59925676,3486941,57243
1785579232.758894,59925676,3486941,57243
1785579232.763898,59925676,3486941,57243
1785579232.768895,59925676,3486941,57243
1785579232.773896,59925676,3486941,57243
1785579232.778895,59925676,3486941,57243
1785579232.783902,59925676,3486941,57243
1785579232.788896,59925676,3486941,57243
1785579232.793907,59925676,3486941,57243
1785579232.798894,59925676,3486941,57243
1785579232.803898,59925676,3486941,57243
1785579232.808895,59925676,3486941,57243
1785579232.813896,59925676,3486941,57243
1785579232.818895,59925676,3486941,57243
1785579232.823897,59925676,3486941,57243
1785579232.828896,59925676,3486941,57243
1785579232.833911,59925676,3486941,57243
1785579232.838895,59925676,3486941,57243
1785579232.843899,59925676,3486941,57243
1785579232.848895,59925676,3486941,57243
1785579232.853896,59925676,3486941,57243
1785579232.858895,59925676,3486941,57243
1785579232.863897,59925676,3486941,57243
1785579232.868895,59925676,3486941,57243
1785579232.873908,59925676,3486941,57243
1785579232.878895,59925676,3486941,57243
1785579232.883904,59925676,3486941,57243
1785579232.888895,59925676,3486941,57243
1785579232.893896,59925676,3486941,57243
1785579232.898895,59925676,3486941,57243
1785579232.903897,59925676,3486941,57243
1785579232.908895,59925676,3486941,57243
1785579232.913908,59925676,3486941,57243
1785579232.918895,59925676,3486941,57243
1785579232.923897,59925676,3486941,57243
1785579232.928895,59925676,3486941,57243
1785579232.933896,59925676,3486941,57243
1785579232.938895,59925676,3486941,57243
1785579232.943898,59925676,3486941,57243
1785579232.948895,59925676,3486941,57243
1785579232.953907,59925676,3486941,57243
1785579232.958895,59925676,3486941,57243
1785579232.963898,59925676,3486941,57243
1785579232.968894,59925676,3486941,57243
1785579232.973896,59925676,3486941,57243
1785579232.978895,59925676,3486941,57243
1785579232.983902,59925676,3486941,57243
