seq,size,send_ts_ns,recv_ts_ns,rtt_ms
seq,size,send_ts_ns,recv_ts_ns,rtt_ms
166,1000,1785764655280500142,1785764655323225559,42.725417
167,1000,1785764655380506621,1785764655425267753,44.761132
168,1000,1785764655480505401,1785764655535311339,54.805938
169,1000,1785764655580500183,1785764655625350901,44.850718
170,1000,1785764655680510871,1785764655725396131,44.885260
171,1000,1785764655780508675,1785764655825446235,44.937560
172,1000,1785764655880511591,1785764655925483042,44.971451
173,1000,1785764655980513829,1785764656025526312,45.012483
174,1000,1785764656080513655,1785764656125568423,45.054768
175,1000,1785764656180513626,1785764656225611619,45.097993
176,1000,1785764656280511719,1785764656323218154,42.706435
177,1000,1785764656380502469,1785764656425815757,45.313288
178,1000,1785764656480509596,1785764656525334730,44.825134
179,1000,1785764656580515417,1785764656625395830,44.880413
180,1000,1785764656680516823,1785764656725426413,44.909590
181,1000,1785764656780509740,1785764656825456093,44.946353
182,1000,1785764656880511763,1785764656925512021,45.000258
183,1000,1785764656980506888,1785764657025535809,45.028921
184,1000,1785764657080511717,1785764657105579199,25.067482
185,1000,1785764657180527180,1785764657205643037,25.115857
186,1000,1785764657280528360,1785764657325659514,45.131154
187,1000,1785764657380509167,1785764657425702266,45.193099
188,1000,1785764657480513996,1785764657525767022,45.253026
189,1000,1785764657580508563,1785764657625785592,45.277029
190,1000,1785764657680508350,1785764657725321856,44.813506
191,1000,1785764657780510201,1785764657825377861,44.867660
192,1000,1785764657880511482,1785764657925418651,44.907169
193,1000,1785764657980511423,1785764658025454774,44.943351
194,1000,1785764658080511556,1785764658125510657,44.999101
195,1000,1785764658180512687,1785764658225540744,45.028057
196,1000,1785764658280511957,1785764658325576954,45.064997
197,1000,1785764658380509114,1785764658425632831,45.123717
198,1000,1785764658480512017,1785764658525663224,45.151207
199,1000,1785764658580511581,1785764658625713776,45.202195
