seq,size,send_ts_ns,recv_ts_ns,rtt_ms
188,1000,1785765008809000854,1785765009389956374,580.952200
189,1000,1785765008909049403,1785765009390011950,480.960284
190,1000,1785765009009001079,1785765009554064482,545.061086
191,1000,1785765009109056576,1785765009554099929,445.041134
192,1000,1785765009208972354,1785765009776047478,567.072747
193,1000,1785765009309051836,1785765009776077760,467.023681
194,1000,1785765009408887055,1785765009981012663,572.120016
195,1000,1785765009509050462,1785765009986048121,476.994120
196,1000,1785765009608999872,1785765010184061208,575.058939
197,1000,1785765009709047324,1785765010184085856,475.036054
198,1000,1785765009808999955,1785765010410042007,601.039650
199,1000,1785765009909044799,1785765010410066717,501.019707
200,1000,1785765010008989261,1785765010607619819,598.628497
201,1000,1785765010109044858,1785765010612062037,503.015070
202,1000,1785765010208974390,1785765010804491324,595.514545
203,1000,1785765010309043362,1785765010810071853,501.026363
204,1000,1785765010409037670,1785765011012067680,603.028053
205,1000,1785765010509036151,1785765011012092017,503.053834
206,1000,1785765010608991484,1785765011200029428,591.035693
207,1000,1785765010709057644,1785765011200058612,490.999200
208,1000,1785765010809003569,1785765011400031611,591.025816
209,1000,1785765010909050115,1785765011406001718,496.949284
210,1000,1785765011009051646,1785765011632043607,622.989557
211,1000,1785765011109040094,1785765011632073812,523.031420
212,1000,1785765011208976315,1785765011840071775,631.093163
213,1000,1785765011309052169,1785765011840100174,531.045801
214,1000,1785765011408971729,1785765012057736886,648.763162
215,1000,1785765011509047137,1785765012062056519,553.006938
216,1000,1785765011609034605,1785765012082056000,473.019259
217,1000,1785765011708994338,1785765012258033552,549.036917
218,1000,1785765011809045178,1785765012258062554,449.015144
219,1000,1785765011909014125,1785765012467925420,558.908978
220,1000,1785765012009048707,1785765012467953135,458.902201
221,1000,1785765012109000638,1785765012678006332,569.003370
222,1000,1785765012208932353,1785765012684062689,475.127799
223,1000,1785765012308997501,1785765012882061630,573.061726
224,1000,1785765012409047715,1785765012882090278,473.040292
225,1000,1785765012508997196,1785765013056054895,547.055304
226,1000,1785765012609059057,1785765013056083748,447.022491
227,1000,1785765012708970749,1785765013253944470,544.971613
228,1000,1785765012809049465,1785765013253968096,444.916436
229,1000,1785765012908999914,1785765013490036777,581.034494
230,1000,1785765013009051358,1785765013490066644,481.013011
231,1000,1785765013108998458,1785765013696063693,587.062828
232,1000,1785765013209067738,1785765013696092286,487.022512
233,1000,1785765013309003221,1785765013898010374,589.004800
