seq,size,send_ts_ns,recv_ts_ns,rtt_ms
224,1000,1785811861501817755,1785811862070113081,568.293061
225,1000,1785811861601868813,1785811862262637968,660.766786
226,1000,1785811861701818296,1785811862268072356,566.251639
227,1000,1785811861801870627,1785811862454077342,652.204223
228,1000,1785811861901815384,1785811862460069989,558.252288
229,1000,1785811862001864027,1785811862655966705,654.100558
230,1000,1785811862101813024,1785811862655993296,554.177720
231,1000,1785811862201864445,1785811862866078421,664.211918
232,1000,1785811862301822269,1785811862866107284,564.282751
233,1000,1785811862401866198,1785811863094077492,692.208899
234,1000,1785811862501820979,1785811863094118461,592.295577
235,1000,1785811862601865898,1785811863306090041,704.221945
236,1000,1785811862701820339,1785811863306116821,604.294250
237,1000,1785811862801802994,1785811863528066925,726.261935
238,1000,1785811862901813567,1785811863534072937,632.257132
239,1000,1785811863001867410,1785811863692072497,690.202574
240,1000,1785811863101819916,1785811863692098757,590.276337
241,1000,1785811863201871589,1785811863916076468,714.202639
242,1000,1785811863301870965,1785811863922645964,620.772624
243,1000,1785811863401865011,1785811864136067037,734.199531
244,1000,1785811863501874934,1785811864136089969,634.212848
245,1000,1785811863601838729,1785811864332044435,730.203340
246,1000,1785811863701814570,1785811864332066403,630.249611
247,1000,1785811863801867031,1785811864546064601,744.195190
248,1000,1785811863901868191,1785811864546089242,644.218384
249,1000,1785811864001846009,1785811864758076136,756.227883
